------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um) (#1), Electric Field (V/cm) (#1)
                   0,   -7.26877240495e-08
      0.331537038818,   -5.46091244206e-07
      0.646497225694,   -7.30634478603e-06
      0.945709403227,   -8.99395740731e-05
       1.22996097188,    -0.00101561513834
       1.49999996211,     -0.0105244106552
       1.58001465405,     -0.0206847406836
        1.6560286114,     -0.0446085466091
       1.72824187087,     -0.0951265052496
       1.79684446738,      -0.196632342883
       1.86201693406,         -0.392965816
        1.9239307774,      -0.759795869592
       1.98274892858,       -1.42311922744
        2.0386261722,       -2.58572726147
       2.09170955364,       -4.56353635573
         2.142138766,       -7.83340206952
       2.19004651775,       -13.0933011545
       2.23555888191,       -21.3343970017
       2.27879562786,       -33.9223173579
       2.31987053652,       -52.6817972162
       2.35889169974,       -79.9745923264
        2.3959618048,       -118.755403441
       2.43117840461,       -172.585099211
       2.46463417443,       -245.576201011
       2.49641715575,       -342.244824953
       2.52661098801,       -467.249360712
       2.55529512866,       -625.012308878
       2.58254506228,       -819.248965872
       2.60843249921,       -1052.46124969
        2.6330255643,       -1325.48652349
       2.65638897613,       -1637.20462488
       2.67858421737,       -1984.48825496
       2.69966969655,       -2362.43058089
       2.71970090177,       -2764.81421467
       2.73873054673,        -3184.7243507
       2.75680870944,       -3615.18027713
       2.77398296402,       -4049.67225167
       2.79029850587,       -4482.53402259
       2.80579827062,       -4909.13349582
       2.82052304714,       -5325.90571326
       2.83451158483,        -5730.2741422
       2.84780069564,       -6120.50941796
        2.8604253509,        -6495.5659606
        2.8724187734,       -6854.92373073
       2.88381252478,       -7198.44997401
       2.89463658859,       -7526.28652231
       2.90491944921,       -7838.76243814
        2.9146881668,       -8136.32884921
       2.92396844851,       -8419.51178755
       2.93278471613,       -8688.87890218
       2.94116017037,       -8945.01647306
        2.9491168519,       -9188.51386713
       2.95667569935,       -9419.95325983
       2.96385660443,       -9639.90302235
       2.97067846426,       -9848.91362825
       2.97715923109,       -10047.5152725
       2.98331595959,       -10236.2166431
       2.98916485166,         -10415.50446
       2.99472129912,       -10585.8435188
       2.99999992421,       -10707.2071909
       3.00000879414,       -10707.1355734
       3.00001397359,       -10707.0561142
       3.00001972279,       -10706.9679145
       3.00002610439,       -10706.8700128
       3.00003318796,        -10706.761342
       3.00004105073,       -10706.6407173
       3.00004977841,        -10706.506824
       3.00005946613,       -10706.3582025
        3.0000702195,       -10706.1932326
       3.00008215574,       -10706.0101161
       3.00009540497,       -10705.8068568
       3.00011011161,       -10705.5812391
       3.00012643598,       -10705.3308035
       3.00014455603,       -10705.0528201
       3.00016466929,       -10704.7442586
       3.00018699501,       -10704.4017555
       3.00021177655,       -10704.0215772
       3.00023928407,       -10703.5995796
       3.00026981741,       -10703.1311626
       3.00030370942,       -10702.6112199
       3.00034132955,       -10702.0340841
        3.0003830879,       -10701.3934638
       3.00042943966,       -10700.6823759
       3.00048089012,       -10699.8930692
       3.00053800013,       -10699.0169397
       3.00060139224,       -10698.0444371
       3.00067175748,       -10696.9649608
        3.0007498629,       -10695.7667438
       3.00083655991,       -10694.4367252
       3.00093279359,       -10692.9604073
       3.00103961298,       -10691.3216978
       3.00115818251,       -10689.5027343
       3.00128979468,       -10687.4836899
       3.00143588419,       -10685.2425568
       3.00159804354,       -10682.7549066
       3.00177804043,       -10679.9936241
       3.00197783697,       -10676.9286119
       3.00219961113,       -10673.5264621
       3.00244578045,       -10669.7500927
        3.0027190284,       -10665.5583432
       3.00302233361,       -10660.9055263
       3.00335900241,       -10655.7409299
       3.00373270477,       -10650.0082649
       3.00414751438,       -10643.6450515
       3.00460795306,       -10636.5819389
       3.00511903999,       -10628.7419494
       3.00568634649,       -10620.0396401
        3.0063160567,       -10610.3801718
       3.00701503503,       -10599.6582758
       3.00779090098,       -10587.7571075
       3.00865211218,       -10574.5469732
       3.00960805661,       -10559.8839171
       3.01066915494,        -10543.608153
       3.01184697407,       -10525.5423238
       3.01315435332,       -10505.4895685
       3.01460554428,       -10483.2313777
       3.01621636624,        -10458.525212
       3.01800437862,       -10431.1018585
       3.01998907237,        -10400.662497
       3.02219208242,       -10366.8754418
       3.02463742358,       -10329.3725257
       3.02735175227,       -10287.7450852
       3.03036465712,       -10241.5395038
        3.0337089815,       -10190.2522641
       3.03742118156,       -10133.3244561
       3.04154172362,       -10070.1356799
       3.04611552532,       -9999.99727879
        3.0511924452,       -9922.14482764
       3.05682782626,       -9835.72979648
       3.06308309925,       -9739.81029855
       3.07002645226,       -9633.34082354
        3.0777335741,       -9515.16084592
       3.08628847935,       -9383.98218695
       3.09578442417,       -9238.37499801
       3.10632492292,       -9076.75222275
       3.11802487654,       -8897.35238975
       3.13101182506,       -8698.22059391
       3.14542733791,       -8477.18756018
       3.16142855717,       -8231.84679073
       3.17918991055,       -7959.53007929
       3.19890501281,       -7657.28239205
       3.22078877631,       -7321.83890724
        3.2450797538,       -6949.61148385
       3.27204273882,       -6536.70292789
       3.30197165218,       -6078.99430265
       3.33519274602,       -5572.41244094
       3.37206816017,       -5013.61379298
       3.41299986989,       -4401.53869148
       3.45843406767,       -3740.49116063
       3.50886602721,       -3045.06453741
        3.5648455023,        -2345.3145432
       3.62698271965,       -1687.00529146
        3.6959550309,       -1120.88366128
        3.7725142964,       -683.161933974
       3.85749508109,       -380.996987542
       3.95182375211,       -194.474104146
       4.05652857694,       -90.9018307593
        4.1727509325,       -38.8709125445
       4.30175774716,        -15.158462293
       4.44495531145,       -5.36351103948
        4.6039046078,        -1.7106662388
       4.78033832676,      -0.488163249202
       4.97617975479,      -0.123650378099
       5.19356373992,     -0.0275751587668
        5.4348599634,    -0.00537002973902
       5.70269877147,   -0.000903826856405
       5.99999984843,   -0.000114890200732
       6.18847607373,   -3.00317095167e-05
       6.38637611029,   -7.43222042084e-06
       6.59417114869,   -1.73306898296e-06
         6.812355939,   -3.80091881428e-07
       7.04144996883,   -7.82641102949e-08
       7.28199870015,    -1.5103573664e-08
       7.53457486804,   -2.72668160983e-09
       7.79977984432,   -4.59224364595e-10
       8.07824506942,   -7.25046177541e-11
       8.37063355577,   -1.11059191693e-11
